REP,NCLUSTERS,NSAMPLES,NMUTS,TAU,H2,PRIOR,COV,LIK,ARI,AMI,FMI,RMSE
1,2,6,25,10,10,GP0,Exp,Bin,1.0,1.0,1.0,5.360062682653255
1,2,6,25,10,10,GP0,Exp,BBin,1.0,1.0,1.0,5.282701922801714
1,2,6,25,10,10,GP0,ExpQ,Bin,1.0,1.0,1.0,5.383741102448933
1,2,6,25,10,10,GP0,ExpQ,BBin,1.0,1.0,1.0,5.3279026086961485
1,2,6,25,10,20,Flat,Exp,Bin,1.0,1.0,1.0,6.5275825038785165
1,2,6,25,10,20,Flat,Exp,BBin,1.0,1.0,1.0,6.401196823537767
1,2,6,25,10,20,GP0,Exp,Bin,1.0,1.0,1.0,6.526584164597856
1,2,6,25,10,20,GP0,Exp,BBin,1.0,1.0,1.0,6.403235453156015
1,2,6,25,10,20,GP0,ExpQ,Bin,1.0,1.0,1.0,6.471332130319265
1,2,6,25,10,20,GP0,ExpQ,BBin,1.0,1.0,1.0,6.341244084355966
1,2,6,25,100,1,Flat,Exp,Bin,1.0,1.0,1.0,1.1206118911055112
1,2,6,25,100,1,Flat,Exp,BBin,0.0,0.0,0.6928203230275509,1.0053998996032851
1,2,6,25,100,1,GP0,Exp,Bin,1.0,1.0,1.0,1.1054664530897236
1,2,6,25,100,1,GP0,Exp,BBin,0.0,0.0,0.6928203230275509,0.9993324018997183
1,2,6,25,100,1,GP0,ExpQ,Bin,0.56,0.5605915786302317,0.7756717518813397,1.030789379203131
1,2,6,25,100,1,GP0,ExpQ,BBin,0.0,0.0,0.6928203230275509,0.9372527039957432
1,2,6,25,100,10,Flat,Exp,Bin,1.0,1.0,1.0,3.1571620673158596
1,2,6,25,100,10,Flat,Exp,BBin,1.0,1.0,1.0,3.1182593561528944
1,2,6,25,100,10,GP0,Exp,Bin,1.0,1.0,1.0,3.0386995768744947
1,2,6,25,100,10,GP0,Exp,BBin,1.0,1.0,1.0,2.9757884515595965
1,2,6,25,100,10,GP0,ExpQ,Bin,1.0,1.0,1.0,2.9614318958238313
1,2,6,25,100,10,GP0,ExpQ,BBin,1.0,1.0,1.0,2.7904775587924266
1,2,6,25,100,20,Flat,Exp,Bin,1.0,1.0,1.0,6.089061850864995
1,2,6,25,100,20,Flat,Exp,BBin,0.0,0.0,0.6928203230275509,5.580104695977965
1,2,6,25,100,20,GP0,Exp,Bin,1.0,1.0,1.0,5.947247417342448
1,2,6,25,100,20,GP0,Exp,BBin,0.0,0.0,0.6928203230275509,5.58460122522366
1,2,6,25,100,20,GP0,ExpQ,Bin,1.0,1.0,1.0,5.895072054150545
1,2,6,25,100,20,GP0,ExpQ,BBin,0.0,0.0,0.6928203230275509,5.490134957564205
1,2,6,50,1,1,Flat,Exp,Bin,0.6325122495916803,0.5263325318266302,0.8126564016027936,0.8000212165088657
1,2,6,50,1,1,Flat,Exp,BBin,0.0,0.0,0.7004371812646436,0.6036104845522302
1,2,6,50,1,1,GP0,Exp,Bin,0.6325122495916803,0.5263325318266302,0.8126564016027936,0.7742627723775805
1,2,6,50,1,1,GP0,Exp,BBin,0.6325122495916803,0.5263325318266302,0.8126564016027936,0.7784880007830406
1,2,6,50,1,1,GP0,ExpQ,Bin,0.6994858995690942,0.605438235332546,0.8469217970049916,0.79875059741594
1,2,6,50,1,1,GP0,ExpQ,BBin,0.6994858995690942,0.605438235332546,0.8469217970049916,0.7962173791966521
1,2,6,50,1,10,Flat,Exp,Bin,1.0,1.0,1.0,3.8338606947295304
1,2,6,50,1,10,Flat,Exp,BBin,1.0,1.0,1.0,3.7991499128435917
1,2,6,50,1,10,GP0,Exp,Bin,1.0,1.0,1.0,3.7242103007909613
1,2,6,50,1,10,GP0,Exp,BBin,1.0,1.0,1.0,3.732994616730388
1,2,6,50,1,10,GP0,ExpQ,Bin,1.0,1.0,1.0,3.8224046262683524
1,2,6,50,1,10,GP0,ExpQ,BBin,1.0,1.0,1.0,3.7560502744076163
1,2,6,50,1,20,Flat,Exp,Bin,1.0,1.0,1.0,4.428150416680252
1,2,6,50,1,20,Flat,Exp,BBin,1.0,1.0,1.0,4.37615339108347
1,2,6,50,1,20,GP0,Exp,Bin,1.0,1.0,1.0,4.446199115915167
1,2,6,50,1,20,GP0,Exp,BBin,1.0,1.0,1.0,4.355703995526449
