REP,NCLUSTERS,NSAMPLES,NMUTS,TAU,H2,PRIOR,COV,LIK,ARI,AMI,FMI,RMSE
1,2,3,50,10,10,GP0,Mat52,BBin,0.0,-1.2873200298016445e-15,0.7021831844254004,2.065199134335591
1,2,3,50,10,10,GP0,ExpQ,Bin,1.0,1.0,1.0,2.6309519938885955
1,2,3,50,10,10,GP0,ExpQ,BBin,0.0,-1.2873200298016445e-15,0.7021831844254004,2.062659941065042
1,2,3,50,10,20,Flat,Exp,Bin,1.0,1.0,1.0,8.259170772763659
1,2,3,50,10,20,Flat,Exp,BBin,1.0,1.0,1.0,8.184664965225336
1,2,3,50,10,20,GP0,Exp,Bin,1.0,1.0,1.0,8.175986953068168
1,2,3,50,10,20,GP0,Exp,BBin,1.0,1.0,1.0,8.152137383032228
1,2,3,50,10,20,GP0,Mat32,Bin,1.0,1.0,1.0,8.21696352040488
1,2,3,50,10,20,GP0,Mat32,BBin,1.0,1.0,1.0,8.143003561342061
1,2,3,50,10,20,GP0,Mat52,Bin,1.0,1.0,1.0,8.215735556146681
1,2,3,50,10,20,GP0,Mat52,BBin,1.0,1.0,1.0,8.146869444296678
1,2,3,50,10,20,GP0,ExpQ,Bin,1.0,1.0,1.0,8.194273687416347
1,2,3,50,10,20,GP0,ExpQ,BBin,1.0,1.0,1.0,8.146132269671035
1,2,3,50,100,1,Flat,Exp,Bin,1.0,1.0,1.0,1.1119312316951286
1,2,3,50,100,1,Flat,Exp,BBin,1.0,1.0,1.0,1.1110702960088905
1,2,3,50,100,1,GP0,Exp,Bin,1.0,1.0,1.0,1.1044759403026787
1,2,3,50,100,1,GP0,Exp,BBin,0.0,-1.2873200298016445e-15,0.7021831844254004,0.8769743493714891
1,2,3,50,100,1,GP0,Mat32,Bin,1.0,1.0,1.0,1.11272854024001
1,2,3,50,100,1,GP0,Mat32,BBin,0.0,-1.2873200298016445e-15,0.7021831844254004,0.8702599393588959
1,2,3,50,100,1,GP0,Mat52,Bin,1.0,1.0,1.0,1.1095496056826857
1,2,3,50,100,1,GP0,Mat52,BBin,0.0,-1.2873200298016445e-15,0.7021831844254004,0.8732232066325362
1,2,3,50,100,1,GP0,ExpQ,Bin,1.0,1.0,1.0,1.102737985987413
1,2,3,50,100,1,GP0,ExpQ,BBin,0.0,-1.2873200298016445e-15,0.7021831844254004,0.8747249672021123
1,2,3,50,100,10,Flat,Exp,Bin,1.0,1.0,1.0,4.947476021281955
1,2,3,50,100,10,Flat,Exp,BBin,1.0,1.0,1.0,4.948454059772283
1,2,3,50,100,10,GP0,Exp,Bin,1.0,1.0,1.0,4.94791387069359
1,2,3,50,100,10,GP0,Exp,BBin,1.0,1.0,1.0,4.9417914743742015
1,2,3,50,100,10,GP0,Mat32,Bin,1.0,1.0,1.0,4.949539787320308
1,2,3,50,100,10,GP0,Mat32,BBin,1.0,1.0,1.0,4.950273629131429
1,2,3,50,100,10,GP0,Mat52,Bin,1.0,1.0,1.0,4.951452904986915
1,2,3,50,100,10,GP0,Mat52,BBin,1.0,1.0,1.0,4.9475675281970215
1,2,3,50,100,10,GP0,ExpQ,Bin,1.0,1.0,1.0,4.9431974252706885
1,2,3,50,100,10,GP0,ExpQ,BBin,1.0,1.0,1.0,4.937417847022769
1,2,3,50,100,20,Flat,Exp,Bin,1.0,1.0,1.0,4.983125292149434
1,2,3,50,100,20,Flat,Exp,BBin,1.0,1.0,1.0,4.983065880097164
1,2,3,50,100,20,GP0,Exp,Bin,1.0,1.0,1.0,4.98045338720135
1,2,3,50,100,20,GP0,Exp,BBin,1.0,1.0,1.0,4.978227902048007
1,2,3,50,100,20,GP0,Mat32,Bin,0.8431196772747647,0.8524473048938289,0.9178041904566052,4.978396029927524
1,2,3,50,100,20,GP0,Mat32,BBin,1.0,1.0,1.0,4.9996479014022075
1,2,3,50,100,20,GP0,Mat52,Bin,1.0,1.0,1.0,4.982047777008869
1,2,3,50,100,20,GP0,Mat52,BBin,1.0,1.0,1.0,4.991144374927605
1,2,3,50,100,20,GP0,ExpQ,Bin,1.0,1.0,1.0,4.983346268355309
1,2,3,50,100,20,GP0,ExpQ,BBin,1.0,1.0,1.0,5.000378551571037
